pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_31280	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_13.json	286	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_13.md
BV1_31281	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_14.json	262	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_14.md
BV1_31282	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_15.json	254	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_15.md
BV1_31283	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_16.json	219	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_16.md
BV1_31284	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_17.json	251	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_17.md
BV1_31285	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_18.json	252	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_18.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_18.md
BV1_31286	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_19.json	241	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_19.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_19.md
BV1_31287	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_2.json	350	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_2.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_2.md
BV1_31288	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_20.json	334	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_20.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_20.md
BV1_31289	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_21.json	252	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_21.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_21.md
